DATE;EASY;EASY_TREND;EASY_SEASON;EASY_RESID
2001-09-30;36803.7908063892;38130.396931223986;563.472084620686;-1890.0782094554693
2001-10-31;34356.0143010852;38156.259450185;-7550.869024733522;3750.623875633715
2001-11-30;32241.1301286924;38182.12196914602;-11049.601229131407;5108.609388677785
2001-12-31;30689.3553354474;38207.98448810704;-7437.331748791852;-81.29740386778758
2002-01-31;33737.9562567423;38233.847007068056;-3847.3003699202427;-648.5903804055151
2002-02-28;34506.8366427145;38259.70952602907;-1696.8032314933646;-2056.069651821208
2002-03-31;45371.3939675571;38285.5720449901;4612.963837264147;2472.858085302857
2002-04-30;47715.5465318425;38311.434563951116;11844.419773535445;-2440.3078056440627
2002-05-31;42751.058522006;38495.97986929808;11398.824799859221;-7143.746147151296
2002-06-30;44875.8064809158;38637.89902525025;5007.360501928934;1230.5469537366198
2002-07-31;43342.6233451374;38864.9348220075;2096.202588395118;2381.485934734784
2002-08-31;33496.025729397;39403.879964394364;-3941.3379815331627;-1966.5162534642022
2002-09-30;35882.443790298;39750.33558895193;563.472084620686;-4431.3638832746165
2002-10-31;35898.0617722408;39748.83983457077;-7550.869024733522;3700.090962403552
2002-11-30;35128.1699858639;39933.42720658268;-11049.601229131407;6244.344008412623
2002-12-31;31208.375221128;40145.970780371965;-7437.331748791852;-1500.263810452112
2003-01-31;38667.7954932357;40247.059800600546;-3847.3003699202427;2268.0360625553994
2003-02-28;42511.6808235058;40660.9553371204;-1696.8032314933646;3547.5287178787603
2003-03-31;45681.4847761476;41097.441103314006;4612.963837264147;-28.920164430554905
2003-04-30;47369.557618104;41257.985358219696;11844.419773535445;-5732.847513651139
2003-05-31;47527.1443640304;41123.77029728731;11398.824799859221;-4995.450733116131
2003-06-30;45200.7664098343;41180.58079280451;5007.360501928934;-987.1748848991438
2003-07-31;45443.7999017049;41456.58842511053;2096.202588395118;1891.008888199252
2003-08-31;41328.3420493059;41356.63793888296;-3941.3379815331627;3913.0420919561057
2003-09-30;38525.7858590355;41080.776101695985;563.472084620686;-3118.462327281168
2003-10-31;37107.7818212401;41211.687606668376;-7550.869024733522;3446.963239305249
2003-11-30;30697.2884744871;41553.5433641024;-11049.601229131407;193.34633951610886
2003-12-31;37002.7086249176;41589.538763404606;-7437.331748791852;2850.5016103048456
2004-01-31;39497.6452647906;41501.704289882946;-3847.3003699202427;1843.241344827894
2004-02-29;39283.0193824892;41237.92775945105;-1696.8032314933646;-258.1051454684873
